golden_id,record_id,conversation_state,intent,escalate,label_confidence
G001,118373,issue_followup,account_access_profile,yes,high
G002,99058,new_issue,needs_more_context,no,low
G003,169146,new_issue,enforcement_safety,no,high
G004,2737529,new_issue,account_access_profile,yes,high
G005,2858533,issue_followup,hardware_devices,no,high
G006,545523,new_issue,hardware_devices,no,high
G007,570265,issue_followup,purchases_billing_orders,yes,high
G008,565143,issue_followup,purchases_billing_orders,yes,high
G009,450506,new_issue,enforcement_safety,no,high
G010,2713685,new_issue,product_info_feedback,no,high
G011,1125226,issue_followup,connectivity_xbox_live,yes,high
G012,505523,new_issue,hardware_devices,no,high
G013,2897779,issue_followup,account_access_profile,yes,high
G014,153152,new_issue,product_info_feedback,no,high
G015,2630775,social_offtopic,,no,high
G016,863781,issue_followup,entitlements_subscriptions_codes,yes,high
G017,183202,new_issue,hardware_devices,no,medium
G018,2972564,new_issue,connectivity_xbox_live,no,medium
G019,521452,new_issue,hardware_devices,no,high
G020,2585935,new_issue,needs_more_context,no,low
G021,2518613,new_issue,software_game_app,no,high
G022,621204,issue_followup,install_download_update,yes,high
G023,513855,new_issue,account_access_profile,yes,high
G024,2754929,new_issue,entitlements_subscriptions_codes,yes,high
G025,123850,issue_followup,hardware_devices,yes,high
G026,2957235,new_issue,product_info_feedback,no,high
G027,2842209,issue_followup,product_info_feedback,no,high
G028,54429,issue_followup,support_process_complaint,yes,high
G029,565199,new_issue,product_info_feedback,no,medium
G030,1719961,new_issue,product_info_feedback,no,high
G031,2654476,issue_followup,entitlements_subscriptions_codes,yes,high
G032,2747533,new_issue,product_info_feedback,no,medium
G033,95023,issue_followup,connectivity_xbox_live,yes,high
G034,2919017,new_issue,hardware_devices,no,high
G035,2912012,acknowledgement_closing,,no,high
G036,1292227,acknowledgement_closing,,no,high
G037,522285,new_issue,hardware_devices,no,high
G038,2818611,new_issue,purchases_billing_orders,yes,high
G039,519474,new_issue,needs_more_context,no,low
G040,2860248,issue_followup,software_game_app,no,high
G041,2698207,new_issue,software_game_app,no,high
G042,2732139,issue_followup,hardware_devices,yes,high
G043,2594918,new_issue,product_info_feedback,no,high
G044,463190,issue_followup,purchases_billing_orders,yes,high
G045,668438,new_issue,entitlements_subscriptions_codes,yes,high
G046,702357,new_issue,purchases_billing_orders,yes,high
G047,567806,new_issue,account_access_profile,yes,high
