golden_id,record_id,thread_id,slice,is_followup,created_at,lang,reply_template_in_train
G001,118373,118370,random,True,2017-11-24 21:24:22+00:00,en,False
G002,99058,99058,stratified:vague,False,2017-11-30 03:30:55+00:00,en,False
G003,169146,169146,stratified:enforcement,False,2017-11-24 19:26:08+00:00,en,False
G004,2737529,2737529,stratified:account_security,False,2017-11-20 16:02:07+00:00,en,False
G005,2858533,2842203,random,True,2017-11-28 06:22:42+00:00,en,False
G006,545523,545523,random,False,2017-12-02 12:27:03+00:00,en,False
G007,570265,570266,random,True,2017-12-03 03:37:08+00:00,en,False
G008,565143,565144,stratified:support_complaint,True,2017-12-03 00:49:16+00:00,en,False
G009,450506,450508,stratified:enforcement,False,2017-11-30 21:07:49+00:00,en,True
G010,2713685,2713685,random,False,2017-11-20 01:45:31+00:00,en,False
G011,1125226,1125227,random,True,2017-11-25 18:43:38+00:00,en,False
G012,505523,505523,random,False,2017-12-01 20:51:56+00:00,en,False
G013,2897779,2897780,stratified:account_security,True,2017-11-28 20:32:17+00:00,en,False
G014,153152,153152,random,False,2017-11-24 05:51:41+00:00,en,False
G015,2630775,2630775,stratified:vague,False,2017-11-17 10:55:12+00:00,undetermined,False
G016,863781,863785,stratified:steps_failed_followup,True,2017-11-21 02:27:25+00:00,en,True
G017,183202,183202,random,False,2017-11-25 01:43:15+00:00,en,False
G018,2972564,2972564,random,False,2017-11-30 01:17:45+00:00,en,False
G019,521452,521452,random,False,2017-12-02 02:56:47+00:00,en,False
G020,2585935,2585935,random,False,2017-11-16 23:52:04+00:00,en,True
G021,2518613,2518613,random,False,2017-11-15 22:38:15+00:00,en,False
G022,621204,621202,random,True,2017-11-23 00:58:58+00:00,en,False
G023,513855,513854,random,False,2017-12-01 23:37:25+00:00,undetermined,True
G024,2754929,2754929,stratified:purchases_billing,False,2017-11-20 20:56:05+00:00,en,True
G025,123850,123858,random,True,2017-11-23 03:41:19+00:00,en,False
G026,2957235,2957235,stratified:support_complaint,False,2017-11-29 15:49:03+00:00,en,False
G027,2842209,2842207,random,True,2017-11-28 21:22:42+00:00,en,False
G028,54429,54427,stratified:support_complaint,True,2017-11-30 21:50:14+00:00,en,False
G029,565199,565199,random,False,2017-12-02 10:04:30+00:00,en,True
G030,1719961,1719961,random,False,2017-11-26 04:26:53+00:00,en,False
G031,2654476,2654478,stratified:steps_failed_followup,True,2017-11-19 02:55:31+00:00,en,False
G032,2747533,2747533,random,False,2017-11-20 21:35:50+00:00,en,True
G033,95023,95033,stratified:steps_failed_followup,True,2017-12-01 01:20:23+00:00,en,False
G034,2919017,2919017,stratified:anger,False,2017-11-28 21:24:37+00:00,en,False
G035,2912012,2912001,stratified:vague,False,2017-11-29 17:20:47+00:00,en,False
G036,1292227,1292228,random,True,2017-11-25 20:47:50+00:00,en,False
G037,522285,478857,random,False,2017-12-02 04:10:22+00:00,en,False
G038,2818611,2818611,random,False,2017-11-27 03:11:37+00:00,en,False
G039,519474,519471,random,False,2017-12-01 18:05:49+00:00,undetermined,True
G040,2860248,2860249,random,True,2017-11-28 04:18:42+00:00,en,False
G041,2698207,2698207,random,False,2017-11-19 16:13:37+00:00,en,True
G042,2732139,2732141,stratified:steps_failed_followup,True,2017-11-26 23:31:05+00:00,en,False
G043,2594918,2594918,random,False,2017-11-17 02:33:50+00:00,en,False
G044,463190,463191,random,True,2017-12-01 03:14:00+00:00,en,False
G045,668438,109355,random,False,2017-11-23 03:44:08+00:00,en,False
G046,702357,702330,random,False,2017-11-20 22:31:41+00:00,en,False
G047,567806,567806,stratified:account_security,False,2017-12-03 00:46:47+00:00,en,False
G048,2508707,2508707,stratified:codes_subscriptions,False,2017-11-15 20:15:29+00:00,en,False
G049,565188,565188,random,False,2017-12-02 10:18:44+00:00,en,True
G050,975522,975522,stratified:purchases_billing,False,2017-11-25 09:33:27+00:00,en,True
G051,2654345,2654345,stratified:purchases_billing,False,2017-11-19 04:14:14+00:00,en,False
G052,2710677,2710677,random,False,2017-11-26 20:21:21+00:00,en,False
G053,23436,23436,random,False,2017-11-25 15:07:07+00:00,en,False
G054,2896387,2896387,stratified:anger,False,2017-11-28 06:20:32+00:00,en,False
G055,2926569,2926573,random,True,2017-11-29 04:44:48+00:00,en,False
G056,2899257,2899257,random,False,2017-11-28 13:32:13+00:00,en,False
G057,2920247,2920247,random,False,2017-11-29 00:55:27+00:00,en,True
G058,2511133,2511133,random,False,2017-11-25 21:12:05+00:00,en,True
G059,2868605,2868606,random,False,2017-11-28 00:14:03+00:00,en,True
G060,2875118,2875118,stratified:account_security,False,2017-11-28 03:49:19+00:00,en,False
G061,667611,667612,random,True,2017-11-23 03:30:22+00:00,en,False
G062,2961531,2961532,random,True,2017-11-29 21:06:46+00:00,en,False
G063,105851,105863,random,True,2017-11-30 13:31:26+00:00,en,False
G064,2579790,2579790,stratified:vague,False,2017-11-16 20:54:19+00:00,en,False
G065,1252649,1252649,random,False,2017-11-25 13:17:15+00:00,en,True
G066,2740175,2740175,stratified:purchases_billing,False,2017-11-20 08:07:40+00:00,en,False
G067,863742,863743,stratified:purchases_billing,False,2017-11-21 02:54:17+00:00,en,False
G068,2617433,2617443,random,True,2017-11-26 21:46:30+00:00,en,False
G069,2654303,2654303,random,False,2017-11-19 04:33:40+00:00,en,False
G070,2708784,2708785,stratified:steps_failed_followup,True,2017-11-20 14:22:25+00:00,en,False
G071,546900,546900,random,False,2017-12-02 08:41:25+00:00,en,False
G072,120892,120893,random,True,2017-11-24 01:04:19+00:00,en,False
G073,564261,564267,stratified:enforcement,True,2017-12-03 00:26:51+00:00,en,False
G074,175092,175089,random,True,2017-11-26 20:13:58+00:00,en,False
G075,702394,702394,stratified:codes_subscriptions,False,2017-11-23 06:05:28+00:00,en,False
G076,447532,447543,random,False,2017-11-30 19:02:18+00:00,en,True
G077,488311,488312,stratified:account_security,False,2017-12-01 06:43:01+00:00,en,False
G078,564246,564247,random,True,2017-12-03 01:13:21+00:00,en,False
G079,2871789,2871789,stratified:purchases_billing,False,2017-11-28 01:15:57+00:00,en,False
G080,340459,340461,stratified:anger,False,2017-11-25 04:20:21+00:00,en,True
G081,2528982,2528982,random,False,2017-11-16 03:21:54+00:00,en,False
G082,2819967,2819967,random,False,2017-11-27 04:34:36+00:00,en,False
G083,2516434,2516434,stratified:account_security,False,2017-11-15 23:08:41+00:00,en,False
G084,2715726,2715727,random,True,2017-11-20 11:16:02+00:00,en,False
G085,2916170,2916170,stratified:support_complaint,False,2017-11-28 17:20:55+00:00,en,False
G086,2923708,2923708,stratified:vague,False,2017-11-29 02:07:35+00:00,undetermined,False
G087,2854021,2854021,random,False,2017-11-27 17:06:39+00:00,en,False
G088,1352084,1352084,random,False,2017-11-20 21:13:12+00:00,en,False
G089,509881,509882,stratified:anger,False,2017-12-01 20:47:24+00:00,en,False
G090,241059,241062,random,True,2017-11-15 20:55:07+00:00,en,False
G091,121807,121810,random,False,2017-11-23 23:17:09+00:00,en,False
G092,1327687,1327688,random,True,2017-11-25 21:42:54+00:00,en,False
G093,2705236,2705237,stratified:steps_failed_followup,True,2017-11-20 06:56:56+00:00,en,False
G094,2420232,2420232,random,False,2017-11-25 20:38:20+00:00,en,False
G095,1757577,1757579,stratified:steps_failed_followup,True,2017-11-20 23:41:44+00:00,en,False
G096,2975923,2975923,stratified:anger,False,2017-11-30 02:40:14+00:00,en,False
G097,514978,514978,stratified:enforcement,False,2017-12-01 22:45:09+00:00,en,False
G098,2586836,2586834,random,True,2017-11-17 01:46:10+00:00,en,False
G099,2782545,2782545,stratified:anger,False,2017-11-21 05:27:14+00:00,en,True
G100,515000,515000,random,False,2017-12-01 23:52:56+00:00,en,False
G101,2896393,2896399,random,False,2017-11-28 05:46:32+00:00,en,False
G102,545519,545519,stratified:enforcement,False,2017-12-02 13:10:07+00:00,en,False
G103,170620,170620,random,False,2017-11-24 21:31:41+00:00,en,True
G104,858904,858904,stratified:vague,False,2017-11-25 07:08:54+00:00,en,True
G105,522278,522278,random,False,2017-12-01 19:38:32+00:00,en,True
G106,565151,565151,stratified:account_security,False,2017-12-02 14:19:23+00:00,en,True
G107,101461,101462,random,False,2017-11-29 21:00:40+00:00,en,False
G108,2874276,2874276,random,False,2017-11-28 03:14:06+00:00,en,False
G109,545544,545544,stratified:anger,False,2017-12-02 07:24:57+00:00,undetermined,False
G110,2581231,2581231,stratified:enforcement,False,2017-11-16 20:14:46+00:00,en,True
G111,661186,661186,stratified:support_complaint,False,2017-11-23 00:46:34+00:00,en,False
G112,570275,570273,stratified:support_complaint,True,2017-12-03 04:20:56+00:00,en,True
G113,2849578,2849578,stratified:support_complaint,False,2017-11-27 13:16:55+00:00,en,True
G114,2693439,2693439,random,False,2017-11-19 09:32:57+00:00,en,True
G115,2682305,2682305,stratified:vague,False,2017-11-25 23:33:07+00:00,undetermined,False
G116,2903902,2903896,random,True,2017-11-28 20:46:31+00:00,en,False
G117,593795,593796,random,False,2017-12-03 15:08:56+00:00,en,False
G118,493803,493803,random,False,2017-12-01 06:44:22+00:00,en,False
G119,183230,183231,random,False,2017-11-25 01:30:27+00:00,en,False
G120,2707875,2707875,stratified:account_security,False,2017-11-19 22:06:46+00:00,en,False
G121,2636050,2636050,random,False,2017-11-17 17:25:53+00:00,en,True
G122,2591633,2591634,random,True,2017-11-17 01:58:42+00:00,en,False
G123,573030,573030,random,False,2017-12-03 05:19:42+00:00,en,False
G124,2855552,2855553,random,True,2017-11-27 21:02:41+00:00,en,False
G125,2585946,2585949,random,False,2017-11-16 22:13:06+00:00,en,False
G126,523165,523166,random,True,2017-12-02 08:33:24+00:00,en,True
G127,1613671,1613676,random,True,2017-11-26 07:17:53+00:00,en,False
G128,2796698,2796698,stratified:codes_subscriptions,False,2017-11-21 19:00:24+00:00,en,False
G129,2795214,2795214,stratified:codes_subscriptions,False,2017-11-21 19:40:07+00:00,en,False
G130,241134,241103,random,False,2017-11-16 00:35:21+00:00,en,False
G131,601589,601591,random,False,2017-12-03 18:58:14+00:00,en,False
G132,2856902,454125,stratified:enforcement,False,2017-11-27 19:39:20+00:00,en,True
G133,449726,449726,stratified:purchases_billing,False,2017-11-30 19:08:06+00:00,en,False
G134,40580,40580,random,False,2017-11-21 01:35:20+00:00,en,False
G135,560712,560704,stratified:steps_failed_followup,True,2017-12-03 03:56:54+00:00,en,False
G136,467213,467203,random,False,2017-12-01 05:34:46+00:00,en,False
G137,542766,542766,stratified:codes_subscriptions,False,2017-12-02 08:01:51+00:00,en,False
