brand,brand_replies,customer_tweets_replied,first_date,last_date,pct_replies_in_last_90d,english_share,lang_undetermined_pct,dm_redirect_pct,dm_only_pct,actionable_pct,substantive_pct,url_pct,canned_pct,unique_reply_ratio,signoff_pct,split_reply_pct,median_reply_chars,threads,avg_thread_len,median_thread_len,p90_thread_len,inbound_share_pct,brand_share_pct,other_brand_share_pct,multi_brand_thread_pct,truncated_thread_pct,followup_rate_pct,outcome_resolved_pct,outcome_unresolved_pct,outcome_continued_pct,outcome_no_followup_pct,unique_substantive_replies,candidate
AmazonHelp,169840,154976,2015-06-13,2017-12-03,99.8,0.807,8.2,0.7,0.6,8.4,8.2,41.3,13.1,0.836,90.0,13.4,123,,,,,,,,,,,,,,,,False
AppleSupport,106860,106623,2016-03-03,2017-12-03,99.9,0.985,5.6,52.5,45.0,28.3,20.1,75.4,20.3,0.767,0.0,0.0,129,80717.0,2.96,2.0,5.0,55.2,44.7,0.1,0.2,0.4,28.7,5.9,2.9,19.8,71.3,20835.0,True
Uber_Support,56270,55182,2014-12-20,2017-12-03,99.9,0.999,4.1,63.4,62.8,2.8,2.3,51.3,62.1,0.358,0.0,0.0,104,,,,,,,,,,,,,,,,False
SpotifyCares,43265,41585,2013-09-18,2017-12-03,99.8,0.995,6.9,30.9,30.5,14.4,13.0,50.5,23.0,0.729,97.1,6.0,131,28280.0,3.25,2.0,6.0,52.8,47.1,0.1,0.2,0.2,30.2,10.0,2.3,17.9,69.8,5285.0,True
Delta,42253,36134,2016-04-14,2017-12-03,99.8,0.999,4.9,16.5,15.9,3.0,3.0,15.3,7.7,0.889,89.4,10.8,102,,,,,,,,,,,,,,,,False
Tesco,38573,25282,2014-10-12,2017-12-03,99.8,1.0,5.4,26.9,26.3,4.5,4.4,8.3,5.2,0.933,31.4,51.5,134,,,,,,,,,,,,,,,,False
AmericanAir,36764,36457,2011-06-16,2017-12-03,99.9,0.993,4.5,18.9,18.2,5.4,5.3,6.5,2.2,0.965,0.0,0.0,107,,,,,,,,,,,,,,,,False
TMobileHelp,34317,33837,2013-05-08,2017-12-03,99.8,0.998,6.1,82.9,74.2,9.9,9.3,48.2,2.7,0.959,97.1,0.0,126,22820.0,3.63,2.0,6.0,57.0,41.5,1.5,1.6,0.8,28.1,4.7,2.4,20.9,71.9,3168.0,True
comcastcares,33031,30369,2015-11-07,2017-12-03,99.9,0.997,6.4,71.5,69.8,3.3,3.1,4.0,25.5,0.709,91.6,0.0,127,,,,,,,,,,,,,,,,False
British_Airways,29361,24084,2012-04-30,2017-12-03,99.6,0.999,2.9,14.0,13.0,7.4,7.4,6.8,0.5,0.987,72.7,32.4,124,,,,,,,,,,,,,,,,False
SouthwestAir,28977,28285,2008-05-08,2017-12-03,99.9,0.999,4.9,17.0,16.4,4.8,4.7,16.2,1.9,0.962,99.6,2.5,118,,,,,,,,,,,,,,,,False
VirginTrains,27817,26272,2012-03-12,2017-12-03,99.8,1.0,5.3,2.6,2.6,5.4,4.9,13.2,6.2,0.906,93.7,7.1,79,,,,,,,,,,,,,,,,False
Ask_Spectrum,25860,24976,2015-04-27,2017-12-03,99.9,0.999,5.8,49.6,48.8,5.2,3.4,39.4,43.2,0.541,60.1,0.0,147,,,,,,,,,,,,,,,,False
XboxSupport,24557,20213,2012-06-15,2017-12-03,99.8,0.989,6.5,20.9,19.0,24.8,20.8,40.4,25.8,0.707,99.4,31.2,115,13455.0,4.29,3.0,7.0,56.2,42.6,1.2,0.8,0.5,42.9,10.1,4.9,27.9,57.1,4775.0,True
sprintcare,22381,20026,2011-11-28,2017-12-03,99.8,0.99,7.8,47.9,47.0,4.6,4.5,17.3,12.1,0.833,73.3,2.8,117,,,,,,,,,,,,,,,,False
